h [H]
h2 [H][H]
o [O]
o2 [O][O]
oh [OH]
h2o O
n2 N#N
ho2 O[O]
h2o2 OO
ar [Ar]
co2 O=C=O
ch2o C=O
hco O=[CH]
ch3 [CH3]
ch2 [CH2]
ch [CH]
c [C]
ch4 C
ch2(s) [CH2]
c2h6 CC
c2h5 C[CH2]
c2h4 C=C
c2h2 C#C
c3ket21 CC(=O)COO
ch3cho CC=O
co	[C]=O
c2h	[C]#C
ch3oh	CO
c3h8	CCC
c5h11o2h-2	CCCC(C)OO	! Confirmed by Anonymous
hcco	C#C[O]	! Confirmed by Anonymous
nc5h11cho	CCCCCC=O	! Confirmed by Anonymous
c8h17o2h-1	CCCCCCCCOO	! Confirmed by Anonymous
c12h25o2-6	CCCCCCC(CCCCC)O[O]	! Confirmed by Anonymous
c14h29o-5	CCCCCCCCCC([O])CCCC	! Confirmed by Anonymous
c5h11o2h-3	CCC(CC)OO	! Confirmed by Anonymous
c14h29o2h-1	CCCCCCCCCCCCCCOO	! Confirmed by Anonymous
c16h33o-8	CCCCCCCCC([O])CCCCCCC	! Confirmed by Anonymous
c16h33o2-8	CCCCCCCCC(CCCCCCC)O[O]	! Confirmed by Anonymous
c10h21o2-2	CCCCCCCCC(C)O[O]	! Confirmed by Anonymous
c11h23o2-2	CCCCCCCCCC(C)O[O]	! Confirmed by Anonymous
c16h33o2h-1	CCCCCCCCCCCCCCCCOO	! Confirmed by Anonymous
c16h33o2-3	CCCCCCCCCCCCCC(CC)O[O]	! Confirmed by Anonymous
c16h33o2-6	CCCCCCCCCCC(CCCCC)O[O]	! Confirmed by Anonymous
c15h31o-3	CCCCCCCCCCCCC([O])CC	! Confirmed by Anonymous
c15h31o-4	CCCCCCCCCCCC([O])CCC	! Confirmed by Anonymous
c10h21o2h-2	CCCCCCCCC(C)OO	! Confirmed by Anonymous
c7h15o2-2	CCCCCC(C)O[O]	! Confirmed by Anonymous
c16h33o2h-8	CCCCCCCCC(CCCCCCC)OO	! Confirmed by Anonymous
ac5h10	C=C(C)CC	! Confirmed by Anonymous
c14h29o2-1	CCCCCCCCCCCCCCO[O]	! Confirmed by Anonymous
c15h30-3	CCC=CCCCCCCCCCCC	! Confirmed by Anonymous
c11h23-1	[CH2]CCCCCCCCCC	! Confirmed by Anonymous
c16h33o2-1	CCCCCCCCCCCCCCCCO[O]	! Confirmed by Anonymous
c11h23-4	CCC[CH]CCCCCCC	! Confirmed by Anonymous
c11h23-3	CC[CH]CCCCCCCC	! Confirmed by Anonymous
c11h23-5	CCCC[CH]CCCCCC	! Confirmed by Anonymous
c14h29-7	CCCCCC[CH]CCCCCCC	! Confirmed by Anonymous
c14h29-2	C[CH]CCCCCCCCCCCC	! Confirmed by Anonymous
c14h29-3	CC[CH]CCCCCCCCCCC	! Confirmed by Anonymous
c15h31-2	C[CH]CCCCCCCCCCCCC	! Confirmed by Anonymous
c15h31-8	CCCCCCC[CH]CCCCCCC	! Confirmed by Anonymous
c15h31-7	CCCCCC[CH]CCCCCCCC	! Confirmed by Anonymous
nc5h11co	CCCCC[C]=O	! Confirmed by Anonymous
nc8h18	CCCCCCCC	! Confirmed by Anonymous
c11h23o2h-2	CCCCCCCCCC(C)OO	! Confirmed by Anonymous
c5h11-3	CC[CH]CC	! Confirmed by Anonymous
c11h22-1	C=CCCCCCCCCC	! Confirmed by Anonymous
c11h23-6	CCCCC[CH]CCCCC	! Confirmed by Anonymous
c15h31o-5	CCCCCCCCCCC([O])CCCC	! Confirmed by Anonymous
c10h21o2-5	CCCCCC(CCCC)O[O]	! Confirmed by Anonymous
c16h33o2h-6	CCCCCCCCCCC(CCCCC)OO	! Confirmed by Anonymous
c16h33o2h-3	CCCCCCCCCCCCCC(CC)OO	! Confirmed by Anonymous
nc3h7o2h	CCCOO	! Confirmed by Anonymous
nc3h7cho	CCCC=O	! Confirmed by Anonymous
c14h29o-6	CCCCCCCCC([O])CCCCC	! Confirmed by Anonymous
c6h13o-1	CCCCCC[O]	! Confirmed by Anonymous
c8h16-1	C=CCCCCCC	! Confirmed by Anonymous
c15h30-1	C=CCCCCCCCCCCCCC	! Confirmed by Anonymous
c5h11o2-2	CCCC(C)O[O]	! Confirmed by Anonymous
nc10h22	CCCCCCCCCC	! Confirmed by Anonymous
c14h29o2-4	CCCCCCCCCCC(CCC)O[O]	! Confirmed by Anonymous
c14h29o2-6	CCCCCCCCC(CCCCC)O[O]	! Confirmed by Anonymous
ch3chcho	CC=C[O]	! Confirmed by Anonymous
nc9h20	CCCCCCCCC	! Confirmed by Anonymous
nc12h26	CCCCCCCCCCCC	! Confirmed by Anonymous
c15h31o2-5	CCCCCCCCCCC(CCCC)O[O]	! Confirmed by Anonymous
c9h19o2h-1	CCCCCCCCCOO	! Confirmed by Anonymous
c9h19o-1	CCCCCCCCC[O]	! Confirmed by Anonymous
c13h27-1	[CH2]CCCCCCCCCCCC	! Confirmed by Anonymous
c12h25-1	[CH2]CCCCCCCCCCC	! Confirmed by Anonymous
c2h5coch3	CCC(C)=O	! Confirmed by Anonymous
c11h23o-2	CCCCCCCCCC(C)[O]	! Confirmed by Anonymous
c12h25o2h-6	CCCCCCC(CCCCC)OO	! Confirmed by Anonymous
c12h25o-6	CCCCCCC([O])CCCCC	! Confirmed by Anonymous
nc4h9cho	CCCCC=O	! Confirmed by Anonymous
c8h17o-2	CCCCCCC(C)[O]	! Confirmed by Anonymous
c7h15o2h-2	CCCCCC(C)OO	! Confirmed by Anonymous
c15h31o2h-4	CCCCCCCCCCCC(CCC)OO	! Confirmed by Anonymous
c15h31o2h-3	CCCCCCCCCCCCC(CC)OO	! Confirmed by Anonymous
nc7h15cho	CCCCCCCC=O	! Confirmed by Anonymous
c15h30-2	CC=CCCCCCCCCCCCC	! Confirmed by Anonymous
c15h30-6	CCCCCC=CCCCCCCCC	! Confirmed by Anonymous
c14h29o2h-5	CCCCCCCCCC(CCCC)OO	! Confirmed by Anonymous
c14h28-6	CCCCCC=CCCCCCCC	! Confirmed by Anonymous
c15h31o2-3	CCCCCCCCCCCCC(CC)O[O]	! Confirmed by Anonymous
c16h33o-3	CCCCCCCCCCCCCC([O])CC	! Confirmed by Anonymous
c14h29o-4	CCCCCCCCCCC([O])CCC	! Confirmed by Anonymous
c16h33o-6	CCCCCCCCCCC([O])CCCCC	! Confirmed by Anonymous
c13h27o-4	CCCCCCCCCC([O])CCC	! Confirmed by Anonymous
c7h15o2h-1	CCCCCCCOO	! Confirmed by Anonymous
c15h31o-1	CCCCCCCCCCCCCCC[O]	! Confirmed by Anonymous
c13h27o2-4	CCCCCCCCCC(CCC)O[O]	! Confirmed by Anonymous
c15h31o2-1	CCCCCCCCCCCCCCCO[O]	! Confirmed by Anonymous
c15h31o2-6	CCCCCCCCCC(CCCCC)O[O]	! Confirmed by Anonymous
c15h31o-6	CCCCCCCCCC([O])CCCCC	! Confirmed by Anonymous
c7h15o2h-3	CCCCC(CC)OO	! Confirmed by Anonymous
c5h11o2h-1	CCCCCOO	! Confirmed by Anonymous
c8h17o2-2	CCCCCCC(C)O[O]	! Confirmed by Anonymous
c7h15o2h-4	CCCC(CCC)OO	! Confirmed by Anonymous
c5h11o-1	CCCCC[O]	! Confirmed by Anonymous
nc13h28	CCCCCCCCCCCCC	! Confirmed by Anonymous
c10h21o-5	CCCCCC([O])CCCC	! Confirmed by Anonymous
c7h15o-2	CCCCCC(C)[O]	! Confirmed by Anonymous
c7h15o-1	CCCCCCC[O]	! Confirmed by Anonymous
c6h13o2h-3	CCCC(CC)OO	! Confirmed by Anonymous
c11h22-2	CC=CCCCCCCCC	! Confirmed by Anonymous
ch2cho	[CH2]C=O	! Confirmed by Anonymous
c16h32-5	CCCCC=CCCCCCCCCCC	! Confirmed by Anonymous
c10h20-4	CCCC=CCCCCC	! Confirmed by Anonymous
c13h26-4	CCCC=CCCCCCCCC	! Confirmed by Anonymous
ic4h10	CC(C)C	! Confirmed by Anonymous
c12h25-5	CCCC[CH]CCCCCCC	! Confirmed by Anonymous
tc4h9	C[C](C)C	! Confirmed by Anonymous
c6h13o2-1	CCCCCCO[O]	! Confirmed by Anonymous
c10h21-4	CCC[CH]CCCCCC	! Confirmed by Anonymous
ic4h9o	CC(C)C[O]	! Confirmed by Anonymous
c8h17o-3	CCCCCC([O])CC	! Confirmed by Anonymous
pc4h9o2h	CCCCOO	! Confirmed by Anonymous
ic5h12	CCC(C)C	! Confirmed by Anonymous
c5h10cho-1	[CH2]CCCCC=O	! Confirmed by Anonymous
c13h26-3	CCC=CCCCCCCCCC	! Confirmed by Anonymous
c16h32-6	CCCCCC=CCCCCCCCCC	! Confirmed by Anonymous
c10h21-2	C[CH]CCCCCCCC	! Confirmed by Anonymous
c14h28-3	CCC=CCCCCCCCCCC	! Confirmed by Anonymous
c13h27-6	CCCCC[CH]CCCCCCC	! Confirmed by Anonymous
c11h23o2-1	CCCCCCCCCCCO[O]	! Confirmed by Anonymous
c11h23o2-4	CCCCCCCC(CCC)O[O]	! Confirmed by Anonymous
c11h23o2-3	CCCCCCCCC(CC)O[O]	! Confirmed by Anonymous
c9h19-5	CCCC[CH]CCCC	! Confirmed by Anonymous
c9h19coch2	[CH2]C(=O)CCCCCCCCC	! Confirmed by Anonymous
c6h13o2-2	CCCCC(C)O[O]	! Confirmed by Anonymous
c6h13o-2	CCCCC(C)[O]	! Confirmed by Anonymous
c3h6cho-2	C[CH]CC=O	! Confirmed by Anonymous
c15h31o2-4	CCCCCCCCCCCC(CCC)O[O]	! Confirmed by Anonymous
c13h26-1	C=CCCCCCCCCCCC	! Confirmed by Anonymous
c5h11o2-3	CCC(CC)O[O]	! Confirmed by Anonymous
c8h16-2	CC=CCCCCC	! Confirmed by Anonymous
c2h4o2h	[CH2]COO	! Confirmed by Anonymous
c14h28-1	C=CCCCCCCCCCCCC	! Confirmed by Anonymous
c14h28-2	CC=CCCCCCCCCCCC	! Confirmed by Anonymous
c15h30-7	CCCCCCC=CCCCCCCC	! Confirmed by Anonymous
c14h28-7	CCCCCCC=CCCCCCC	! Confirmed by Anonymous
c10h20-5	CCCCC=CCCCC	! Confirmed by Anonymous
c14h29o-3	CCCCCCCCCCCC([O])CC	! Confirmed by Anonymous
c11h23o-4	CCCCCCCC([O])CCC	! Confirmed by Anonymous
c11h23o-3	CCCCCCCCC([O])CC	! Confirmed by Anonymous
c15h31o2h-5	CCCCCCCCCCC(CCCC)OO	! Confirmed by Anonymous
c14h29o2h-6	CCCCCCCCC(CCCCC)OO	! Confirmed by Anonymous
c13h27o2-1	CCCCCCCCCCCCCO[O]	! Confirmed by Anonymous
c12h25o-1	CCCCCCCCCCCC[O]	! Confirmed by Anonymous
c13h27o-1	CCCCCCCCCCCCC[O]	! Confirmed by Anonymous
c14h29o2h-4	CCCCCCCCCCC(CCC)OO	! Confirmed by Anonymous
c6h13o2h-1	CCCCCCOO	! Confirmed by Anonymous
c10h21o2h-5	CCCCCC(CCCC)OO	! Confirmed by Anonymous
c11h23o2-6	CCCCCC(CCCCC)O[O]	! Confirmed by Anonymous
c11h23o-6	CCCCCC([O])CCCCC	! Confirmed by Anonymous
c15h31o-7	CCCCCCCCC([O])CCCCCC	! Confirmed by Anonymous
c15h31o-8	CCCCCCCC([O])CCCCCCC	! Confirmed by Anonymous
c15h31o2-7	CCCCCCCCC(CCCCCC)O[O]	! Confirmed by Anonymous
c15h31o2-8	CCCCCCCC(CCCCCCC)O[O]	! Confirmed by Anonymous
c15h31o-2	CCCCCCCCCCCCCC(C)[O]	! Confirmed by Anonymous
c15h31o2-2	CCCCCCCCCCCCCC(C)O[O]	! Confirmed by Anonymous
c8h17o2h-2	CCCCCCC(C)OO	! Confirmed by Anonymous
c14h29o-2	CCCCCCCCCCCCC(C)[O]	! Confirmed by Anonymous
c14h29o2-2	CCCCCCCCCCCCC(C)O[O]	! Confirmed by Anonymous
c14h29o-7	CCCCCCCC([O])CCCCCC	! Confirmed by Anonymous
c14h29o2-7	CCCCCCCC(CCCCCC)O[O]	! Confirmed by Anonymous
c11h23o-1	CCCCCCCCCCC[O]	! Confirmed by Anonymous
