// rate library for f31: cyclic ether formation reaction
// original from rate_library_4.txt, Cath, 03/07/28

// jing, define key word for format of the rate: either Arrhenius or Arrhenius_EP
Arrhenius_EP

//f31_intermolecular_HA

// Catherina Wijaya Thesis, pg 159.

812. 	RnOO 		Y_rad_intra 	300-1500 	1E+11 		0 	0 	10 	0 	0 	0 	0 	0	

//No.	RnOOH	 Y_rad_intra	Temp.	A	n	a	E0	A	Dn	Da	DE0	Rank	Comments
823.	R3OOR_SS	Cs_rad_intra	300-1500	7.50E+10	0	0	15.250	0	0	0	0	5	Curran's [8] estimation in reaction type 19, QOOH = cyclic ether + OH
824.	R4OOR_SSS	Cs_rad_intra	300-1500	9.38E+09	0	0	7.000	0	0	0	0	5	Curran's [8] estimation in reaction type 19, QOOH = cyclic ether + OH
825.	R5OOR_SSSS	Cs_rad_intra	300-1500	1.17E+09	0	0	1.800	0	0	0	0	5	Curran's [8] estimation in reaction type 19, QOOH = cyclic ether + OH
826. 	R5OOR_SSSSCO 	Cs_rad_intra 	300-1500 	1.27E+08 	0.77 	0 	18.73	0	0	0	0	5 	CBS-QB3 Including treatment of hindered rotor (SSM) 
827.	R2OOR_SCO	Cs_rad_intra	300-1500	6.92E+15 	-0.53 	0 	24.34	0	0	0	0	5 	CBS-QB3 Including treatment for hindered rotor, QTST Calculation (CFG & JWA) 
828. 	R4OOR_SSSCO 	Cs_rad_intra 	300-1500 	1.27E+08 	0.77 	0 	18.73	0	0	0	0	0 	Estimate (Same as 5 memebered ring)
829. 	R3OOR_SSCO 	Cs_rad_intra 	300-1500 	1.27E+08 	0.77 	0 	18.73	0	0	0	0	0 	Estimate (Same as 5 memebered ring)

// Added by AG Vandeputte
830.	R2OOJ_S		C_pri_rad_intra		300-1500	1.62E+09	1.10	0	31.9	0       0       0       0       5	AG Vandeputte, BMK/cbsb7
831.	R2OOJ_S		C_pri_rad_intra		300-1500	1.61E+09	1.09	0	29.9	0       0       0       0       5       AG Vandeputte, BMK/cbsb7
832.	R2OOJ_S		C_rad/H/NonDeC_intra    300-1500	3.27E+09	1.06	0	31.0	0       0       0       0       5       AG Vandeputte, BMK/cbsb7



